Ticker,Sector,Industry,Shares Outstanding,Beta,PE Ratio,Earnings Date,Market Cap,EPS Actual,Revenue,,EPS Estimate,EPS Surprise,SurPrice % Change After EPS (1d)prise %,price_pct_change_1d_before,price_pct_change_5d_before,volume_pct_change_1d_before,volatility_5d,ma_5,ma_10,ma_20,target
AFG,5,32,83518000,0.715,13.2731085,2025-05-06,10854834561.950684,2.16719749036136,2363000000.0,-0.0613988095867036,3.00833,0.1116700000000001,0.037100002,-0.4472216979999915,0.5734001583049956,-14.093739757456571,0.2448420317526751,127.92200012207032,128.05600051879884,126.11414833068848,0
AFG,5,32,83518000,0.715,13.2731085,2025-02-05,10419215220.7489,2.502454560693504,1886000000.0,0.0087030929306565,2.07333,-0.2633299999999998,-0.127,-0.4974276747121989,0.2773237433365852,-31.98177676537585,0.1094733651137963,133.97813720703124,133.36287841796874,131.82478828430175,1
AIT,7,29,38084600,0.92,24.837337,2025-05-01,8693608996.707153,2.6204555122017825,1166749000.0,-0.0055961353390685,2.5125,0.1374999999999997,0.0547,0.3754585201541955,4.514864969165451,12.017167381974248,0.3132673825373887,239.85967712402345,229.92764892578128,225.19665985107423,0
AIT,7,29,38084600,0.92,24.837337,2024-10-24,8789322588.601685,2.4173287890643462,1098944000.0,-0.0028881950556147,2.21375,0.17625,0.0796,-1.0652782856729892,0.3242410350481578,64.37552388935457,0.1184330543777725,228.27706298828124,227.12299041748048,223.97317657470705,0
AIT,7,29,38084600,0.92,24.837337,2024-10-23,8480520383.093262,2.7173975832751296,1160675000.0,0.0364132569475109,2.41,0.1599999999999997,0.0664,-1.630578671899727,3.173694345377397,101.52027027027026,0.3108663046645379,230.3802520751953,226.92998504638672,223.7931022644043,1
ALE,10,70,57963800,0.782,20.31348,2025-05-14,3766487918.580627,0.9678454483660492,400200000.0,0.0015389114951534,0.92012,-0.3501200000000001,-0.3805,0.1829719716303446,0.2748528222098892,-27.920443101711985,0.0360858490665236,64.8494659423828,64.78024368286133,64.55873260498046,1
ALE,10,70,57963800,0.782,20.31348,2025-05-08,3753877325.007629,0.872958639702711,364800000.0,-0.000610823317971,0.90352,-0.1235199999999999,-0.1367,0.2748528222098892,-0.3664704296131857,22.752449936088624,0.0441368249074292,64.74662170410156,64.65861129760742,64.41682720184326,0
ALE,10,70,57963800,0.782,20.31348,2025-02-13,3734961434.648132,0.7763466163364031,407200000.0,0.0039902819980039,1.07743,-0.2074300000000001,-0.1925,0.167175821775872,-0.0304502500913982,32.751828925154754,0.014750104329514,64.2776870727539,64.24248046875,64.19211692810059,1
ALE,10,70,57963800,0.782,20.31348,2024-10-30,3588759963.504792,0.5693208519800289,354500000.0,-0.0015623214185043,1.015,-0.0449999999999999,-0.044299997,-0.2955341499414987,0.2339004921110395,75.09025270758123,0.0311928913242543,62.15755996704102,62.19334754943848,62.17158470153809,0
ALK,7,1,121393000,1.439,18.253597,2025-04-24,5039023226.24588,0.5848772169729721,3534000000.0,0.0096362693821504,2.21771,0.0322900000000001,0.0146,2.6034757885978577,-2.5747332708509862,115.00635862653668,0.4630779512245981,44.912000274658205,45.5939998626709,46.8625,1
ALK,7,1,121393000,1.439,18.253597,2025-04-23,5597431304.092407,1.944098918389034,3072000000.0,-0.0997614883523916,0.46927,0.5007299999999999,1.0669999,2.88461152181792,1.8218252390584675,4.317063733348073,0.4397913494730835,44.85600051879883,45.08399963378906,47.24850006103516,0
ALLY,5,15,307175008,1.119,68.066666,2025-05-07,9986258994.496948,-0.732481465419218,1755000000.0,0.0304522217649904,0.63199,0.3380099999999999,0.5348,-1.4536630393155263,-0.7294872735557967,14.69908270564546,0.2648497232189066,32.684000396728514,32.61909999847412,32.06052703857422,1
ALV,2,7,77305200,1.375,13.378036,2025-04-16,6710864223.266602,3.143384921066112,2616000000.0,-0.0054141370109576,1.9879,-0.1478999999999999,-0.0744,-0.6283280075379449,8.466849399800068,26.03975133525961,0.7551483455920323,81.6239990234375,82.04099884033204,86.57149925231934,0
AM,4,42,479219008,1.005,20.552324,2025-06-05,8894304532.549438,0.2519453485451061,308797000.0,0.01077590348569,0.26871,-0.0387099999999999,-0.1441,-1.8018025302944465,0.0530516110316185,-5.53674866471075,0.1685611874343593,18.80600051879883,18.75800018310547,18.59949998855591,1
AM,4,42,479219008,1.005,20.552324,2025-05-01,8084425067.136597,0.2320212640647175,305145000.0,0.0391226920319525,0.30441,-0.07441,-0.24440001,-2.186766179462342,1.859624862169176,76.13409983493653,0.2472450759482961,16.871999740600586,16.738542556762695,16.57885627746582,1
AM,4,42,479219008,1.005,20.552324,2025-04-30,7931074216.784912,0.208130308554038,287538000.0,0.0193354451313973,0.2711,-0.0110999999999999,-0.040900003,-0.6459225244648532,0.9997026592982876,-19.326843603636696,0.1729555303194115,16.895999908447266,16.7340425491333,16.652570819854738,1
AM,4,42,479219008,1.005,20.552324,2025-02-13,7952059608.792114,0.179535866824381,287463000.0,-0.0089180079138613,0.29686,-0.0168599999999999,-0.056799997,-1.6139091747955974,-1.4733099210875182,10.562811857939536,0.1513409152905764,15.8380916595459,15.887419319152832,15.843226146697996,0
AMED,6,37,32819600,0.944,35.913284,2025-04-23,3072899057.8582764,1.8590110787456275,594781000.0,0.0068354096808976,1.18087,0.1391299999999999,0.1178,0.6533795732956076,0.153105190190855,26.706036745406823,0.048890380825427,91.902001953125,91.73000106811524,92.13600006103516,1
AMED,6,37,32819600,0.944,35.913284,2025-02-26,3005290761.984253,-0.6210008653365672,598052000.0,0.0012012734598466,1.1672,-0.1672,-0.1432,0.0,0.06482718164817,71.14391143911439,0.1675488260390748,91.44400024414062,92.03300018310549,92.17150039672852,1
AMED,6,37,32819600,0.944,35.913284,2024-11-06,3206803085.952759,0.5152713622347621,587671000.0,-0.0093132334586159,1.05948,-0.09948,-0.0939,0.5975465965733869,-0.0839209372894673,-1.1753183153770812,0.101547778929485,95.33799896240234,95.9389991760254,96.38399963378906,0
AMED,6,37,32819600,0.944,35.913284,2024-07-24,3202536628.0944824,0.984198466769857,591187000.0,0.0017421414814035,1.10623,0.1437699999999999,0.13,0.3078533208340177,0.0102334115501105,-12.71393643031785,0.0293344861013685,97.65599975585936,97.83099975585938,96.4810001373291,1
AMG,5,5,28428900,1.079,15.399924,2025-05-22,4989271950.0,2.5467042340716666,496600000.0,-0.0087179417623753,4.60424,0.06576,0.0143,-2.906137156776109,-0.6369375517657868,2.746425884123401,0.2402853114112345,180.8200256347656,181.27905731201173,174.6864440917969,0
AMG,5,5,28428900,1.079,15.399924,2025-05-08,5149898531.808472,5.701944148384214,524300000.0,-0.0109847206678923,4.83928,-0.0192799999999992,-0.004,1.5238490497240509,0.7788367494197603,18.9770200148258,0.3128015213040667,172.27460327148438,168.09383087158204,162.57563323974608,0
AMG,5,5,28428900,1.079,15.399924,2025-02-06,5194508688.336182,4.347688443801906,516400000.0,-0.0226551129665798,6.025,0.5049999999999999,0.0838,0.2968870324033434,1.119351478772049,6.594827586206897,0.2056919306519998,185.11502075195312,186.1209060668945,184.73806381225583,0
AMG,5,5,28428900,1.079,15.399924,2024-11-04,5032781146.014404,2.673335936318324,500300000.0,0.0039534150879841,5.09424,0.10576,0.0208,-0.0464136648377725,1.8082069371558425,97.75429326287978,0.1730101829181114,194.84548950195312,192.79583282470705,190.45572509765623,1
AMH,8,48,369526016,0.773,33.037037,2025-05-01,13886637527.504885,0.2092058384327668,445055000.0,0.0374770143732809,0.14495,0.2131499999999999,1.4705,2.0190956535244995,-0.1081388073890831,23.178119349005424,0.2160980953525507,36.70482177734375,36.59274711608887,35.84343643188477,1
AMKR,9,58,247056000,1.833,17.523438,2025-05-14,4941752851.043701,0.0855190725989249,1321575000.0,-0.0084620128170763,0.22625,0.04375,0.1934,2.139586701602492,0.8009279462941438,-28.034520118055816,0.4797364184153902,18.610645294189453,18.098882293701173,17.357622623443604,0
AMKR,9,58,247056000,1.833,17.523438,2024-10-28,7101943473.358154,0.2707766660190402,1461474000.0,-0.0524890462590075,0.08609,0.0039099999999999,0.0454,1.7364552600373258,-0.753364136973944,25.527401296405426,0.2052580464697974,29.00912208557129,29.45204734802246,29.37222366333008,0
AN,2,6,37701100,0.994,12.59029,2025-04-24,6535862719.010925,4.936195495622144,7213200000.0,0.00997920928385,4.36001,-0.3400100000000003,-0.078,-0.0887365587491349,-1.10433046125487,43.65733113673805,0.3352466405323168,165.86599731445312,166.58999938964843,164.2034996032715,1
AN,2,6,37701100,0.994,12.59029,2025-02-11,7357369434.890747,4.928238168117111,6586100000.0,-0.0181398585541876,4.25608,0.7139199999999999,0.16770001,0.7847650961545599,2.7392879493753712,236.8380062305296,0.2600825029527673,192.6760009765625,190.54099884033204,186.56649932861328,0
ANF,2,4,47643300,1.475,8.545364,2025-06-12,3751909875.0,1.6878133966370927,1097311000.0,-0.0519364614335317,2.09626,0.40374,0.1926,-2.565044143044615,4.590290569253389,-26.85774946921444,0.5384017402106807,80.91799926757812,79.7339988708496,78.96549987792969,0
ANF,2,4,47643300,1.475,8.545364,2025-05-28,4215002809.158325,3.9297445810848535,1584917000.0,-0.0613767404798576,2.22304,0.2769599999999999,0.1246,5.439392451184699,-1.819111213626963,131.28503437334743,0.8512299311517412,75.26600036621093,77.49100112915039,74.34600028991699,0
ANF,2,4,47643300,1.475,8.545364,2025-03-05,4155925218.935394,2.770148163540309,1208966000.0,-0.0418434183814436,3.59934,-0.0293400000000003,-0.0082,-0.6204099677397545,3.1209764355042524,5.941482678154729,0.57233224504055,100.26199951171876,101.27600021362304,106.66700019836426,0
ANF,2,4,47643300,1.475,8.545364,2024-11-26,6985460413.366699,2.795104453301933,1133974000.0,0.0132314998364014,1.32861,0.26139,0.1967,1.6514207619716332,-0.585689826115553,55.185872901587786,0.6799024808263964,145.49000244140626,144.1770004272461,140.8029998779297,1
APG,7,22,415260000,1.582,83.097565,2025-05-01,11167725642.242432,0.084284544622646,1719000000.0,0.049082784698733,0.31402,0.0126499999999999,0.0403,0.906903810792444,3.5267968054743504,17.964132871408193,0.2330004958309524,24.98666648864746,24.07266635894776,23.457333183288576,1
APG,7,22,415260000,1.582,83.097565,2025-02-26,11073600528.030396,0.1613446997062081,1861000000.0,-0.0325000747442209,0.33893,0.00107,0.0032,2.3208434829967235,7.768288302517509,53.65518144897157,0.6453752730159356,26.71599998474121,25.913333320617674,25.63300008773804,0
APG,7,22,415260000,1.582,83.097565,2024-10-31,9451317695.045471,0.1661609593989308,1826000000.0,0.0351493510112257,0.33138,0.00862,0.025999999,-2.1508586862054693,1.876676014493464,29.169254658385093,0.465551962958437,22.274666595458985,22.45133304595948,22.11566638946533,1
APG,7,22,415260000,1.582,83.097565,2024-08-01,10035450528.030396,0.1661609593989308,1730000000.0,-0.0529655428674346,0.23964,0.00703,0.0293,1.800107661169101,0.3575413174286894,80.16708256482586,0.1690323104207798,24.765333557128905,24.78600006103516,24.801666736602783,0
APPF,9,60,23047300,0.866,45.14339,2025-04-24,5408048804.330444,4.457528647607312,203664000.0,-0.1816747953670504,1.03313,0.2568699999999999,0.2486,2.4377005491127783,-1.7758958039155517,27.78204144282425,0.558266434579525,218.5099975585937,221.7759979248047,221.1689994812012,0
APPF,9,60,23047300,0.866,45.14339,2024-10-24,4426695079.803467,1.2871355863810512,197375000.0,0.1055343793445878,1.22429,-0.0142900000000001,-0.0117,-1.466506330056163,-0.8507896914999074,-5.561766349916154,0.0841528282894086,199.45899963378903,207.75650024414065,218.58324966430663,1
AR,4,41,310527008,0.688,47.831173,2025-06-05,11548499001.07605,0.669735625701195,1392590000.0,0.0392579444227616,-0.16329,-0.03071,-0.1881,-2.763298635102136,-0.333592671396095,35.032255993837666,0.4186520463267741,38.12000045776367,38.73900032043457,39.01800003051758,1
AR,4,41,310527008,0.688,47.831173,2025-05-01,10759761301.026611,0.3445368590934287,1149466000.0,0.0320345381464205,-0.06342,-0.0551099999999999,-0.869,-3.731339034643313,0.7290755127591553,0.3983333333333334,0.3764149283903486,35.36200103759766,34.47100067138672,34.57950029373169,1
AR,4,41,310527008,0.688,47.831173,2025-04-30,10815656257.231934,-0.0658364634099717,983580000.0,-0.0051679671465102,0.28717,0.28783,1.0023,0.695797377891998,4.447148958400629,27.051349920592905,0.2443101574691732,35.25400085449219,34.29800033569336,34.88400011062622,0
AR,4,41,310527008,0.688,47.831173,2025-02-13,12467659845.026611,-0.2114566472749449,928082000.0,-0.0077210799877853,0.88072,-0.0972199999999999,-0.1104,-1.5991988563915194,-3.2828264827083427,30.36516624458786,0.5474004043743076,39.113999938964845,38.73999977111816,39.04749984741211,0
ARMK,7,62,262071008,1.36,32.846157,2025-05-06,9838010917.842896,0.2360200026398952,4279298000.0,0.0159405516916341,0.30206,0.00794,0.026300002,1.694914483151909,0.0908503303648377,32.841758694011936,0.1840936619246818,33.390595245361325,33.07144966125488,32.581760787963866,1
ARMK,7,62,262071008,1.36,32.846157,2024-11-11,10055952216.846558,0.2217948503483452,4376076000.0,-0.0170632482972789,0.33106,0.00894,0.027,0.3592500498560957,-0.1831927610932108,106.04866994010683,0.1991271046983756,38.46235961914063,38.15384330749512,38.35026187896729,0
ARW,9,21,51874000,1.093,18.240026,2025-05-07,5989371992.507935,1.5368007094112657,6814017000.0,0.0249436798567,2.16,0.6199999999999997,0.287,-1.2696262853291462,-0.0179535316569534,-21.534691376933683,0.2049827041845662,114.24799957275393,112.71699981689451,106.25,1
ARW,9,21,51874000,1.093,18.240026,2025-05-01,5865393164.169312,1.912480240582951,7282877000.0,0.0183957003331441,2.22,0.1599999999999997,0.0721,-0.0179535316569534,3.98961133833654,271.1792014856082,0.3271926111959549,111.9020004272461,107.69400024414062,102.45250015258787,1
ARW,9,21,51874000,1.093,18.240026,2025-02-06,5691615343.322754,1.9386783359679225,6823319000.0,-0.0249726379264068,2.67667,0.2933300000000001,0.1096,0.9753959407599656,-0.5440321259511612,66.26323751891074,0.2137167858767059,115.152001953125,116.53300094604492,115.54650077819824,0
ARW,9,21,51874000,1.093,18.240026,2024-10-31,6155887485.015869,2.0954235262366505,6892868000.0,0.0198870872736656,1.434,0.3660000000000001,0.2552,0.9290226470817382,1.1710509554323698,85.74862637362637,0.1515350754220849,134.09400329589843,134.31100158691407,133.63650207519532,1
ASB,5,8,165810000,0.789,32.78481,2025-04-30,3621459306.793213,0.6132742295398348,342124000.0,0.0185856516784933,0.51375,0.0062499999999999,0.012200001,-0.2670225710162581,2.5383206939359035,-45.759830944505694,0.2064842441289077,21.908343887329103,20.88757801055908,20.39848184585572,1
ASB,5,8,165810000,0.789,32.78481,2025-04-24,3614892852.8022766,-0.9746999577830048,61563000.0,0.0140781179996432,0.49857,0.06143,0.1232,2.5383206939359035,-0.7571978186230033,-30.128791026173666,0.3169464887437117,20.18363571166992,19.83711013793945,20.461846446990968,1
ASB,5,8,165810000,0.789,32.78481,2024-10-24,3656992415.599823,0.6970206863277245,319959000.0,0.0101411884577629,0.57262,0.0173799999999999,0.0304,0.1784042889815296,1.1353855786109466,96.9797454740993,0.3276878482599002,21.967798233032227,21.741215705871586,21.12954063415528,1
ASGN,9,30,43800000,1.0,14.612857,2025-04-23,2564489966.583252,0.9680365296803652,985000000.0,-0.1159692741930807,1.35286,0.0771399999999999,0.056999996,1.9129521961121287,-2.174276138242349,-11.661883642055832,0.2955994592235949,58.29999923706055,58.96399993896485,60.83749980926514,0
ASGN,9,30,43800000,1.0,14.612857,2025-02-05,3849143879.699707,1.0844748858447488,1031000000.0,-0.0586025723422979,1.21481,0.06519,0.0537,-0.4576676417568103,0.10738667436816,18.639352554375314,0.3019581325210986,88.94000091552735,90.82700042724608,89.33999938964844,0
ASGN,9,30,43800000,1.0,14.612857,2024-10-23,4075152040.1000977,1.0776255707762556,1034700000.0,0.0089209138315493,0.945,-0.0249999999999999,-0.026500002,-0.4939852565559987,1.723961372793132,3.636363636363636,0.3122589598058675,95.8040008544922,95.98500061035156,94.7550006866455,1
ATI,7,40,141068000,1.13,31.815216,2025-05-01,8780072556.777954,0.971871721439306,1172700000.0,0.069569374993373,0.66579,-0.06579,-0.0988,1.1344627211426526,4.0468179363267165,65.77142254115661,0.2435302434983961,53.508000183105466,49.90800018310547,48.30250015258789,1
ATI,7,40,141068000,1.13,31.815216,2024-10-29,8015483716.949463,0.5805710721070689,1095300000.0,-0.0459345410835915,0.58758,0.1324199999999999,0.22540002,2.9977193231814825,-0.3786709915149169,46.5568229826785,0.2980612622290832,62.41800079345703,62.749000549316406,63.44049987792969,0
ATR,6,39,66040700,0.586,29.385742,2025-05-01,9792514915.383911,1.3696705213603126,910063000.0,0.0250876804108965,1.155,0.0449999999999999,0.039,-0.2328699930889472,2.3032746823069403,54.54292859127536,0.2226514309028015,149.64356994628906,147.1520736694336,144.66406021118163,1
AVNT,0,63,91532704,1.389,31.824072,2025-05-06,3221010937.020508,0.5276802485808788,746500000.0,0.0183253230213936,0.62554,0.02446,0.039100002,-0.5848006472325995,0.6009554699783957,158.69300170690076,0.187380852158121,33.415855407714844,33.085486602783206,31.89596090316773,1
AVNT,0,63,91532704,1.389,31.824072,2025-02-13,3874359900.270874,0.417337173825871,815200000.0,0.0009313327313707,0.48233,0.00767,0.0159,-1.347192181645156,-0.1873480465655124,66.23626373626374,0.1336313345571759,41.54707946777344,41.95113716125488,41.943253135681154,1
AVNT,0,63,91532704,1.389,31.824072,2024-10-31,4181020855.889282,0.3670819120562635,849700000.0,-0.0100836925435843,0.75635,0.00365,0.0047999998,-0.8986792154463267,0.3969139073633904,39.09430826755297,0.1626499126663347,47.52421417236328,47.94365539550781,48.00735683441162,0
AVT,9,21,83857296,1.041,15.839888,2025-04-30,3914957631.579712,1.0484359047303409,5315423000.0,0.0389444179250921,0.97143,0.2485699999999999,0.2559,-0.889741295121109,2.84829770431887,-39.20450165728822,0.3261806004477637,50.95017623901367,48.87667999267578,46.74357280731201,1
AVT,9,21,83857296,1.041,15.839888,2024-10-30,4745471597.827698,0.985793770407288,5562976000.0,-0.0603223296423672,0.714,0.126,0.1765,0.0918931146634094,-0.2774713705684393,64.64686998394865,0.0993858861564274,53.15659637451172,53.40575256347656,53.35032997131348,0
AXTA,0,63,218559008,1.278,15.136586,2025-05-07,6926135080.243103,0.6268330061234538,1311000000.0,-0.0132533944214537,0.51277,0.07723,0.1506,-0.0600794749583293,2.297763713308154,8.658458586504638,0.2235487014050341,32.91000061035156,32.383000183105466,31.605000019073486,0
AXTA,0,63,218559008,1.278,15.136586,2024-10-30,8375181119.861084,0.5124474210644294,1351000000.0,-0.0104384532636865,0.54606,0.0439399999999999,0.0805,-0.5057609002642635,0.5991414808665991,41.96566403143566,0.1452672816946849,35.412000274658205,35.72999992370605,36.013000106811525,0
AYI,7,19,30644800,1.606,24.107481,2025-06-26,9321535039.55078,3.2109852242468544,1178600000.0,-0.0027615108097722,4.26875,0.03125,0.0073,1.0722780786071178,2.361359969490304,84.72568578553617,0.2718255707743082,280.65599365234374,275.18799743652346,270.00949935913087,0
AYI,7,19,30644800,1.606,24.107481,2025-04-03,7877816876.220703,2.528977183731008,1006300000.0,-0.0920469512828503,3.89556,0.07444,0.0191,1.0353839781539655,-1.275435563389518,-2.8900375939849625,0.2119612860663379,264.4451477050781,267.4748931884766,267.69322509765624,0
BBWI,2,65,211612000,1.699,9.102151,2025-05-29,6002381193.069458,2.1407103566905468,2787000000.0,-0.0160951396387412,0.46749,0.0225099999999999,0.0482,-0.1964720115796533,-6.843988010609092,12.667280136716183,0.5288694836529013,30.53657455444336,32.02132225036621,31.509203147888183,0
BBWI,2,65,211612000,1.699,9.102151,2025-02-27,7531329233.261108,0.500916772205735,1610000000.0,0.0103178243167012,2.04454,0.0454599999999998,0.0222,1.1075605543157143,0.5985156603554393,61.00575610191424,0.4292685565864456,39.76066970825195,38.549127197265626,37.71325550079346,1
BBWI,2,65,211612000,1.699,9.102151,2024-11-25,7477271886.184692,0.7182957488233181,1526000000.0,-0.015371791565217,0.47119,0.0188099999999999,0.0399,0.5237357036046493,-0.2853596630737988,27.68462627617557,0.2581157496665176,30.2309268951416,30.57324085235596,30.04386701583862,0
BC,2,52,65683400,1.256,39.62914,2025-05-01,3018520105.548858,0.307535846195538,1221800000.0,0.0215842387120096,1.90363,-0.1036299999999998,-0.0544,-0.6686805281056444,5.6991390202505965,-4.765556529360211,0.4839298327863834,46.34641418457032,45.065846633911136,45.44922370910645,1
BC,2,52,65683400,1.256,39.62914,2025-04-24,3117551842.491913,-1.2560251144124694,1154900000.0,-0.0206896307838237,1.19825,-0.0282500000000001,-0.023599999,1.0040117223222993,-0.2761153700860061,97.30031462498732,0.2356403664883575,43.78527908325195,44.18006362915039,47.43206958770752,0
BC,2,52,65683400,1.256,39.62914,2024-10-24,5146572915.037537,1.522454684136327,1443900000.0,0.0100050175038147,0.21947,0.34053,1.5516,-2.2963706584606487,0.3337783215973247,8.465035722017753,0.26550214594333,79.48899383544922,80.29252548217774,80.48458862304688,1
BCO,7,57,42000000,1.421,25.671158,2025-02-26,4032443801.879883,0.6880952380952381,1258500000.0,-0.0444490462995271,1.88667,0.23333,0.1237,2.462573318146344,1.2199000223693643,98.97367246764836,0.2975151789819502,92.76002197265623,92.93252182006836,92.74989967346193,0
BCO,7,57,42000000,1.421,25.671158,2024-11-06,4288849136.352539,1.1,1253100000.0,-0.0211336610313574,1.17333,0.4466700000000001,0.3807,0.0673810555252687,-0.5085061497550095,160.73500967117988,0.1085679636878099,102.83783874511718,102.53429870605468,105.97119216918944,0
BDC,9,14,39496900,1.239,23.460348,2025-05-01,4001211167.5834656,1.4781919593689632,666042000.0,0.0336458135248255,1.61011,0.08989,0.0558,0.3503671259139148,4.580624545144859,84.66566113624937,0.2953781114856483,102.23802185058594,98.24381713867189,95.96334190368653,1
BDC,9,14,39496900,1.239,23.460348,2025-02-06,4540236938.062286,1.359397826158509,654926000.0,0.0005215387610222,1.69,0.2299999999999999,0.1361,0.9461869002682484,1.2224510186642583,44.99007936507937,0.2800602008996704,115.68704223632812,116.61516952514648,116.77851524353028,1
